1766951177.269029 server started (78177): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1766951177.269082 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:34 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T8103
1766951177.269099 using libevent 2.1.12-stable select
1766951177.269117 using utf8proc 2.11.2
1766951177.269130 using ncurses 6.5 20240427
1766951177.269355 input_key_build: 0x10e003 (PasteStart) is \033[200~
1766951177.269370 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1766951177.269498 input_key_build: 0x10e25b (F1) is \033OP
1766951177.269514 input_key_build: 0x10e25c (F2) is \033OQ
1766951177.269524 input_key_build: 0x10e25d (F3) is \033OR
1766951177.269533 input_key_build: 0x10e25e (F4) is \033OS
1766951177.269543 input_key_build: 0x10e25f (F5) is \033[15~
1766951177.269556 input_key_build: 0x10e260 (F6) is \033[17~
1766951177.269567 input_key_build: 0x10e261 (F7) is \033[18~
1766951177.269577 input_key_build: 0x10e262 (F8) is \033[19~
1766951177.269586 input_key_build: 0x10e263 (F9) is \033[20~
1766951177.269596 input_key_build: 0x10e264 (F10) is \033[21~
1766951177.269608 input_key_build: 0x10e265 (F11) is \033[23~
1766951177.269618 input_key_build: 0x10e266 (F12) is \033[24~
1766951177.269627 input_key_build: 0x10e267 (IC) is \033[2~
1766951177.269636 input_key_build: 0x10e268 (DC) is \033[3~
1766951177.269646 input_key_build: 0x10e269 (Home) is \033[1~
1766951177.269655 input_key_build: 0x10e26a (End) is \033[4~
1766951177.269665 input_key_build: 0x10e26b (NPage) is \033[6~
1766951177.269674 input_key_build: 0x10e26c (PPage) is \033[5~
1766951177.269683 input_key_build: 0x10e26d (BTab) is \033[Z
1766951177.269693 input_key_build: 0x10e26e (Up) is \033[A
1766951177.269702 input_key_build: 0x10e26f (Down) is \033[B
1766951177.269711 input_key_build: 0x10e270 (Left) is \033[D
1766951177.269721 input_key_build: 0x10e271 (Right) is \033[C
1766951177.269730 input_key_build: 0x10e272 (KP/) is /
1766951177.269739 input_key_build: 0x10e273 (KP*) is *
1766951177.269749 input_key_build: 0x10e274 (KP-) is -
1766951177.269758 input_key_build: 0x10e275 (KP7) is 7
1766951177.269767 input_key_build: 0x10e276 (KP8) is 8
1766951177.269776 input_key_build: 0x10e277 (KP9) is 9
1766951177.269786 input_key_build: 0x10e278 (KP+) is +
1766951177.269795 input_key_build: 0x10e279 (KP4) is 4
1766951177.269804 input_key_build: 0x10e27a (KP5) is 5
1766951177.269813 input_key_build: 0x10e27b (KP6) is 6
1766951177.269822 input_key_build: 0x10e27c (KP1) is 1
1766951177.269831 input_key_build: 0x10e27d (KP2) is 2
1766951177.269840 input_key_build: 0x10e27e (KP3) is 3
1766951177.269850 input_key_build: 0x10e27f (KPEnter) is \n
1766951177.269861 input_key_build: 0x10e280 (KP0) is 0
1766951177.269871 input_key_build: 0x10e281 (KP.) is .
1766951177.269882 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1766951177.269893 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1766951177.269903 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1766951177.269913 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1766951177.269922 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1766951177.269932 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1766951177.269941 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1766951177.269950 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1766951177.269960 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1766951177.269969 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1766951177.269978 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1766951177.269988 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1766951177.269997 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1766951177.270006 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1766951177.270015 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1766951177.270024 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1766951177.270032 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1766951177.270040 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1766951177.270047 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1766951177.270066 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1766951177.270072 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1766951177.270078 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1766951177.270083 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1766951177.270089 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1766951177.270095 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1766951177.270100 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1766951177.270106 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1766951177.270112 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1766951177.270117 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1766951177.270123 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1766951177.270129 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1766951177.270134 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1766951177.270140 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1766951177.270146 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1766951177.270151 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1766951177.270158 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1766951177.270165 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1766951177.270172 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1766951177.270178 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1766951177.270184 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1766951177.270190 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1766951177.270197 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1766951177.270204 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1766951177.270211 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1766951177.270218 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1766951177.270224 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1766951177.270229 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1766951177.270235 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1766951177.270241 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1766951177.270246 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1766951177.270252 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1766951177.270257 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1766951177.270263 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1766951177.270269 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1766951177.270276 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1766951177.270282 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1766951177.270289 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1766951177.270295 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1766951177.270300 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1766951177.270306 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1766951177.270312 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1766951177.270319 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1766951177.270326 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1766951177.270333 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1766951177.270339 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1766951177.270345 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1766951177.270350 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1766951177.270356 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1766951177.270362 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1766951177.270368 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1766951177.270374 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1766951177.270380 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1766951177.270386 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1766951177.270393 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1766951177.270400 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1766951177.270418 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1766951177.270424 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1766951177.270431 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1766951177.270438 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1766951177.270444 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1766951177.270452 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1766951177.270458 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1766951177.270463 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1766951177.270469 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1766951177.270476 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1766951177.270481 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1766951177.270487 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1766951177.270492 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1766951177.270498 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1766951177.270504 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1766951177.270511 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1766951177.270517 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1766951177.270524 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1766951177.270531 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1766951177.270538 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1766951177.270544 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1766951177.270550 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1766951177.270557 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1766951177.270565 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1766951177.270572 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1766951177.270578 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1766951177.270583 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1766951177.270589 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1766951177.270595 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1766951177.270600 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1766951177.270606 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1766951177.270612 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1766951177.270617 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1766951177.270623 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1766951177.270628 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1766951177.270634 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1766951177.270639 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1766951177.270645 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1766951177.270651 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1766951177.270656 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1766951177.270662 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1766951177.270668 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1766951177.270673 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1766951177.270679 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1766951177.270685 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1766951177.270691 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1766951177.270697 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1766951177.270703 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1766951177.270709 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1766951177.270714 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1766951177.270720 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1766951177.270726 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1766951177.270733 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1766951177.270741 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1766951177.270748 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1766951177.270766 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1766951177.270774 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1766951177.270780 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1766951177.270789 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1766951177.270797 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1766951177.270803 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1766951177.270809 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1766951177.270815 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1766951177.270821 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
